description,destination_ip,domain,packet_count,port_info,query_count,recommendation,severity,source_ip,type,usage_count
DNS queries to unknown/uncommon domain: config.edge.skype.com,,config.edge.skype.com,,,1,Investigate domain reputation and purpose. Check if domain is associated with phishing or malware campaigns.,MEDIUM,,UNKNOWN_DOMAIN,
DNS queries to unknown/uncommon domain: ocsp.digicert.com,,ocsp.digicert.com,,,1,Investigate domain reputation and purpose. Check if domain is associated with phishing or malware campaigns.,MEDIUM,,UNKNOWN_DOMAIN,
DNS queries to unknown/uncommon domain: code.jquery.com,,code.jquery.com,,,1,Investigate domain reputation and purpose. Check if domain is associated with phishing or malware campaigns.,MEDIUM,,UNKNOWN_DOMAIN,
DNS queries to unknown/uncommon domain: connect.facebook.net,,connect.facebook.net,,,1,Investigate domain reputation and purpose. Check if domain is associated with phishing or malware campaigns.,MEDIUM,,UNKNOWN_DOMAIN,
Suspicious communication pattern: 10.0.0.168 -> 103.232.55.148 (1063 packets),103.232.55.148,,1063,,,Investigate the destination IP address. Check if it's associated with known malicious activity or command-and-control servers.,MEDIUM,10.0.0.168,SUSPICIOUS_IP_COMMUNICATION,
Suspicious communication pattern: 10.0.0.168 -> 204.79.197.200 (196 packets),204.79.197.200,,196,,,Investigate the destination IP address. Check if it's associated with known malicious activity or command-and-control servers.,MEDIUM,10.0.0.168,SUSPICIOUS_IP_COMMUNICATION,
Suspicious communication pattern: 10.0.0.168 -> 2.16.119.157 (166 packets),2.16.119.157,,166,,,Investigate the destination IP address. Check if it's associated with known malicious activity or command-and-control servers.,MEDIUM,10.0.0.168,SUSPICIOUS_IP_COMMUNICATION,
Suspicious communication pattern: 10.0.0.168 -> 31.13.64.21 (82 packets),31.13.64.21,,82,,,Investigate the destination IP address. Check if it's associated with known malicious activity or command-and-control servers.,MEDIUM,10.0.0.168,SUSPICIOUS_IP_COMMUNICATION,
Unusual port usage detected: 49681 (29 occurrences),,,,49681,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,29
Unusual port usage detected: 49680 (15 occurrences),,,,49680,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,15
Unusual port usage detected: 49682 (24 occurrences),,,,49682,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,24
Unusual port usage detected: 49684 (25 occurrences),,,,49684,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,25
Unusual port usage detected: 49686 (11 occurrences),,,,49686,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,11
Unusual port usage detected: 49687 (14 occurrences),,,,49687,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,14
Unusual port usage detected: 49692 (45 occurrences),,,,49692,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,45
Unusual port usage detected: 49694 (182 occurrences),,,,49694,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,HIGH,,UNUSUAL_PORT,182
Unusual port usage detected: 49693 (14 occurrences),,,,49693,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,14
Unusual port usage detected: 49697 (13 occurrences),,,,49697,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,13
Unusual port usage detected: 49698 (12 occurrences),,,,49698,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,12
Unusual port usage detected: 49700 (41 occurrences),,,,49700,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,41
Unusual port usage detected: 49701 (53 occurrences),,,,49701,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,53
Unusual port usage detected: 49702 (53 occurrences),,,,49702,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,53
Unusual port usage detected: 49705 (341 occurrences),,,,49705,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,HIGH,,UNUSUAL_PORT,341
Unusual port usage detected: 49712 (31 occurrences),,,,49712,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,31
Unusual port usage detected: 49706 (39 occurrences),,,,49706,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,39
Unusual port usage detected: 49707 (19 occurrences),,,,49707,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,19
Unusual port usage detected: 49711 (136 occurrences),,,,49711,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,HIGH,,UNUSUAL_PORT,136
Unusual port usage detected: 49716 (67 occurrences),,,,49716,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,67
Unusual port usage detected: 49718 (17 occurrences),,,,49718,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,17
Unusual port usage detected: 49719 (14 occurrences),,,,49719,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,14
Unusual port usage detected: 49722 (27 occurrences),,,,49722,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,27
Unusual port usage detected: 49724 (415 occurrences),,,,49724,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,HIGH,,UNUSUAL_PORT,415
Unusual port usage detected: 49746 (12 occurrences),,,,49746,,Investigate the service running on this port. Verify if it's legitimate business traffic or potential backdoor/tunnel.,MEDIUM,,UNUSUAL_PORT,12
